GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
paymentService,com.paymentService.service,PaymentService,135,6,0,0,29,3,9,1,9,1
paymentService,com.paymentService.service,KafkaConsumerService,5,7,0,0,2,2,1,2,1,2
paymentService,com.paymentService.service,KafkaProducerService,12,7,0,0,3,2,1,2,1,2
paymentService,com.paymentService.model,PaymentStatus,0,27,0,0,0,2,0,1,0,1
paymentService,com.paymentService.model,PaymentMethod,0,27,0,0,0,2,0,1,0,1
paymentService,com.paymentService.model,Payment,11,0,0,0,5,0,2,0,2,0
paymentService,com.paymentService,PaymentServiceApplication,5,3,0,0,2,1,1,1,1,1
paymentService,com.paymentService.exception,PaymentNotFoundException,4,0,0,0,2,0,1,0,1,0
paymentService,com.paymentService.exception,GlobalExceptionHandler,49,3,0,0,9,1,3,1,3,1
paymentService,com.paymentService.controller,PaymentController,32,6,0,0,5,3,5,1,5,1
